title;status;description;url;image
1. Todo App;Done;A distraction-free web app to help you focus on creating and completing tasks.;https://pythonhow.com;1.png
2. Portfolio Website;Doing Extra;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
3. PDF Templates;Started;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;3.png
4. PDF Invoices;Not Started;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png
5. Positive News Site;Not Started;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png
6. Weather API;Not Started;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png
7. Download Cleaner;Not Started;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
8. Tour Scraper;Not Started;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png
9. Helper Chatbot;Not Started;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
10. Open Domain Chatbot;Not Started;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
11. Webcam Motion Detector;Not Started;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
12. Typing Analyzer;Not Started;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
13. Internet Speed Analysis;Not Started;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
14. Monitoring Data;Not Started;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
15. Visualizing Data;Not Started;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
16. Visualizing Weather Forecast;Not Started;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png
17. Student Management System;Not Started;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
18. School Management System;Not Started;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
19. Restaurant Menu Web App;Not Started;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
20. Online Store;Not Started;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png